timestamp,value
1703973600000,17
1703984400000,22
1703995200000,29
1704006000000,20
1704016800000,25
1704027600000,25
1704038400000,19
1704049200000,25
1704060000000,32
1704070800000,17
1704081600000,25
1704092400000,18
1704103200000,17
1704114000000,19
1704124800000,30
1704135600000,29
1704146400000,23
1704157200000,18
1704168000000,31
1704178800000,27
1704189600000,25
1704200400000,27
1704211200000,22
1704222000000,20
1704232800000,30
1704243600000,29
1704254400000,23
1704265200000,27
1704276000000,20
1704286800000,32
1704297600000,25
1704308400000,24
1704319200000,31
1704330000000,29
1704340800000,21
1704351600000,29
1704362400000,27
1704373200000,20
1704384000000,26
1704394800000,31
1704405600000,18
1704416400000,18
1704427200000,27
1704438000000,17
1704448800000,32
1704459600000,22
1704470400000,18
1704481200000,27
1704492000000,17
1704502800000,26
1704513600000,18
1704524400000,25
1704535200000,30
1704546000000,18
1704556800000,19
1704567600000,23
1704578400000,31
1704589200000,24
1704600000000,26
1704610800000,32
1704621600000,26
1704632400000,17
1704643200000,25
1704654000000,32
1704664800000,29
1704675600000,30
1704686400000,26
1704697200000,26
1704708000000,18
1704718800000,29
1704729600000,25
1704740400000,18
1704751200000,26
1704762000000,22
1704772800000,27
1704783600000,22
1704794400000,17
1704805200000,27
1704816000000,29
1704826800000,28
1704837600000,24
1704848400000,21
1704859200000,25
1704870000000,19
1704880800000,32
1704891600000,32
1704902400000,28
1704913200000,24
1704924000000,29
1704934800000,23
1704945600000,32
1704956400000,22
1704967200000,30
1704978000000,27
1704988800000,20
1704999600000,23
1705010400000,30
1705021200000,28
1705032000000,28
1705042800000,19
1705053600000,27
1705064400000,30
1705075200000,20
1705086000000,23
1705096800000,30
1705107600000,28
1705118400000,18
1705129200000,18
1705140000000,28
1705150800000,24
1705161600000,30
1705172400000,27
1705183200000,24
1705194000000,19
1705204800000,30
1705215600000,24
1705226400000,32
1705237200000,28
1705248000000,26
1705258800000,25
1705269600000,20
1705280400000,32
1705291200000,31
1705302000000,27
1705312800000,18
1705323600000,28
1705334400000,24
1705345200000,21
1705356000000,18
1705366800000,26
1705377600000,31
1705388400000,27
1705399200000,26
1705410000000,18
1705420800000,19
1705431600000,20
1705442400000,28
1705453200000,18
1705464000000,24
1705474800000,19
1705485600000,18
1705496400000,21
1705507200000,24
1705518000000,32
1705528800000,29
1705539600000,18
1705550400000,29
1705561200000,21
1705572000000,32
1705582800000,27
1705593600000,31
1705604400000,17
1705615200000,24
1705626000000,31
1705636800000,27
1705647600000,32
1705658400000,28
1705669200000,25
1705680000000,28
1705690800000,29
1705701600000,23
1705712400000,28
1705723200000,31
1705734000000,30
1705744800000,26
1705755600000,21
1705766400000,19
1705777200000,23
1705788000000,32
1705798800000,18
1705809600000,21
1705820400000,21
1705831200000,31
1705842000000,31
1705852800000,30
1705863600000,22
1705874400000,25
1705885200000,27
1705896000000,17
1705906800000,27
1705917600000,31
1705928400000,32
1705939200000,22
1705950000000,25
1705960800000,30
1705971600000,19
1705982400000,19
1705993200000,20
1706004000000,22
1706014800000,31
1706025600000,18
1706036400000,19
1706047200000,28
1706058000000,17
1706068800000,18
1706079600000,18
1706090400000,23
1706101200000,17
1706112000000,28
1706122800000,27
1706133600000,32
1706144400000,22
1706155200000,28
1706166000000,22
1706176800000,18
1706187600000,24
1706198400000,21
1706209200000,31
1706220000000,29
1706230800000,24
1706241600000,31
1706252400000,18
1706263200000,29
1706274000000,26
1706284800000,30
1706295600000,22
1706306400000,24
1706317200000,26
1706328000000,22
1706338800000,25
1706349600000,31
1706360400000,17
1706371200000,22
1706382000000,26
1706392800000,30
1706403600000,28
1706414400000,18
1706425200000,20
1706436000000,21
1706446800000,25
1706457600000,31
1706468400000,23
1706479200000,20
1706490000000,18
1706500800000,28
1706511600000,31
1706522400000,18
1706533200000,29
1706544000000,23
1706554800000,23
1706565600000,21
1706576400000,27
1706587200000,28
1706598000000,17
1706608800000,19
1706619600000,26
1706630400000,26
1706641200000,29
1706652000000,29
1706662800000,20
1706673600000,22
1706684400000,20
1706695200000,18
1706706000000,29
1706716800000,27
1706727600000,30
1706738400000,25
1706749200000,25
1706760000000,17
1706770800000,21
1706781600000,27
1706792400000,31
1706803200000,27
1706814000000,30
1706824800000,25
1706835600000,32
1706846400000,27
1706857200000,25
1706868000000,19
1706878800000,17
1706889600000,32
1706900400000,21
1706911200000,23
1706922000000,24
1706932800000,27
1706943600000,28
1706954400000,32
1706965200000,22
1706976000000,20
1706986800000,32
1706997600000,23
1707008400000,31
1707019200000,29
1707030000000,27
1707040800000,18
1707051600000,25
1707062400000,23
1707073200000,19
1707084000000,19
1707094800000,24
1707105600000,23
1707116400000,28
1707127200000,18
1707138000000,20
1707148800000,18
1707159600000,18
1707170400000,19
1707181200000,29
1707192000000,31
1707202800000,22
1707213600000,25
1707224400000,31
1707235200000,18
1707246000000,24
1707256800000,26
1707267600000,19
1707278400000,18
1707289200000,30
1707300000000,31
1707310800000,23
1707321600000,32
1707332400000,19
1707343200000,19
1707354000000,26
1707364800000,26
1707375600000,32
1707386400000,28
1707397200000,27
1707408000000,21
1707418800000,24
1707429600000,30
1707440400000,31
1707451200000,21
1707462000000,30
1707472800000,31
1707483600000,29
1707494400000,21
1707505200000,17
1707516000000,18
1707526800000,20
1707537600000,19
1707548400000,24
1707559200000,24
1707570000000,24
1707580800000,32
1707591600000,22
1707602400000,19
1707613200000,26
1707624000000,21
1707634800000,20
1707645600000,22
1707656400000,31
1707667200000,17
1707678000000,32
1707688800000,17
1707699600000,29
1707710400000,21
1707721200000,28
1707732000000,24
1707742800000,18
1707753600000,18
1707764400000,32
1707775200000,19
1707786000000,26
1707796800000,20
1707807600000,28
1707818400000,26
1707829200000,29
1707840000000,23
1707850800000,25
1707861600000,25
1707872400000,22
1707883200000,32
1707894000000,29
1707904800000,25
1707915600000,32
1707926400000,28
1707937200000,17
1707948000000,24
1707958800000,32
1707969600000,24
1707980400000,27
1707991200000,22
1708002000000,23
1708012800000,25
1708023600000,23
1708034400000,29
1708045200000,27
1708056000000,29
1708066800000,26
1708077600000,23
1708088400000,19
1708099200000,18
1708110000000,24
1708120800000,32
1708131600000,30
1708142400000,17
1708153200000,31
1708164000000,17
1708174800000,24
1708185600000,32
1708196400000,28
1708207200000,22
1708218000000,32
1708228800000,19
1708239600000,23
1708250400000,23
1708261200000,18
1708272000000,30
1708282800000,20
1708293600000,31
1708304400000,23
1708315200000,19
1708326000000,20
1708336800000,25
1708347600000,17
1708358400000,25
1708369200000,26
1708380000000,21
1708390800000,21
1708401600000,26
1708412400000,20
1708423200000,25
1708434000000,20
1708444800000,18
1708455600000,32
1708466400000,21
1708477200000,31
1708488000000,26
1708498800000,25
1708509600000,31
1708520400000,17
1708531200000,32
1708542000000,27
1708552800000,32
1708563600000,18
1708574400000,21
1708585200000,18
1708596000000,30
1708606800000,23
1708617600000,29
1708628400000,20
1708639200000,26
1708650000000,21
1708660800000,29
1708671600000,17
1708682400000,21
1708693200000,20
1708704000000,29
1708714800000,20
1708725600000,20
1708736400000,30
1708747200000,24
1708758000000,31
1708768800000,17
1708779600000,27
1708790400000,28
1708801200000,30
1708812000000,28
1708822800000,32
1708833600000,27
1708844400000,20
1708855200000,24
1708866000000,21
1708876800000,28
1708887600000,29
1708898400000,24
1708909200000,31
1708920000000,27
